Topic Name,Difficulty Level,Keyword,Question,Answer,Hints
Division,Easy,division,What is 50 / 1?,50,Try dividing by the largest possible factor.
Division,Easy,division,What is 44 / 2?,22,Try dividing by the largest possible factor.
Division,Easy,division,What is 55 / 5?,11,Try dividing by the largest possible factor.
Division,Easy,division,What is 49 / 6?,8,Try dividing by the largest possible factor.
Division,Easy,division,What is 7 / 2?,3,Try dividing by the largest possible factor.
Division,Easy,division,What is 88 / 10?,8,Try dividing by the largest possible factor.
Division,Easy,division,What is 73 / 6?,12,Try dividing by the largest possible factor.
Division,Easy,division,What is 82 / 2?,41,Try dividing by the largest possible factor.
Division,Easy,division,What is 7 / 5?,1,Try dividing by the largest possible factor.
Division,Easy,division,What is 98 / 6?,16,Try dividing by the largest possible factor.
Division,Easy,division,What is 70 / 7?,10,Try dividing by the largest possible factor.
Division,Easy,division,What is 36 / 7?,5,Try dividing by the largest possible factor.
Division,Easy,division,What is 90 / 3?,30,Try dividing by the largest possible factor.
Division,Easy,division,What is 43 / 4?,10,Try dividing by the largest possible factor.
Division,Easy,division,What is 40 / 9?,4,Try dividing by the largest possible factor.
Division,Easy,division,What is 40 / 4?,10,Try dividing by the largest possible factor.
Division,Easy,division,What is 59 / 5?,11,Try dividing by the largest possible factor.
Division,Easy,division,What is 9 / 9?,1,Try dividing by the largest possible factor.
Division,Easy,division,What is 93 / 2?,46,Try dividing by the largest possible factor.
Division,Easy,division,What is 78 / 10?,7,Try dividing by the largest possible factor.
Division,Easy,division,What is 10 / 3?,3,Try dividing by the largest possible factor.
Division,Easy,division,What is 12 / 3?,4,Try dividing by the largest possible factor.
Division,Easy,division,What is 82 / 1?,82,Try dividing by the largest possible factor.
Division,Easy,division,What is 52 / 2?,26,Try dividing by the largest possible factor.
Division,Easy,division,What is 66 / 1?,66,Try dividing by the largest possible factor.
